user_id,first_order_date,last_order_date,total_orders,total_revenue,avg_order_value,days_since_last_order,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_score,rfm_segment,has_purchase_last_year,has_purchase_last_qtr
ccaf1a8b-f5c5-4fa2-a337-699e15f3de92,2025-03-04,2025-04-18,2,2179.89,1089.95,301,2,2,5,225,Needs Attention,True,True
8717b7ab-7a0e-4393-9ef9-7e73bb7ff880,2025-01-18,2025-05-01,3,2089.88,696.63,288,2,3,5,235,At Risk,True,True
72c92aa7-c2eb-436b-b297-bfa10dd554dc,2025-01-22,2025-02-28,2,2069.89,1034.95,350,2,2,5,225,Needs Attention,True,True
3315da53-1eec-4774-ab51-2c1f16622e4c,2025-03-06,2025-03-18,2,2049.9,1024.95,332,2,2,5,225,Needs Attention,True,True
8a9b4ce0-b687-49b8-bc07-068655eab623,2025-02-09,2025-02-16,2,2049.9,1024.95,362,2,2,5,225,Needs Attention,True,True
c6dc57d2-f995-4afc-9915-a17bf8792d9b,2025-01-11,2025-11-22,3,2029.89,676.63,83,4,3,5,435,Potential Loyalist,True,True
b1cec93f-967f-4746-8bd0-5b237bd496e3,2025-11-26,2025-12-23,2,1959.89,979.94,52,4,2,5,425,Potential Loyalist,True,True
cb483f82-3c2c-483d-b1e5-78ea3674b55f,2025-03-30,2025-12-26,3,1959.89,653.3,49,4,3,5,435,Potential Loyalist,True,True
0f51b57c-3422-4fab-83ca-25c330c2ccf3,2025-08-20,2025-10-06,2,1919.89,959.94,130,3,2,5,325,Potential Loyalist,True,True
ccf908b3-9745-4bfc-8d69-5ba29e1f1fc9,2025-07-23,2025-12-08,2,1899.9,949.95,67,4,2,5,425,Potential Loyalist,True,True
deeebebf-8bca-46bd-acdc-c0c17a5b3e50,2025-01-06,2025-04-07,3,1899.88,633.29,312,2,3,5,235,At Risk,True,True
0982cabd-fe18-4bc8-b2dc-4dfecb38a71b,2025-05-09,2025-08-31,2,1849.92,924.96,166,3,2,5,325,Potential Loyalist,True,True
3f78b2a8-796a-4d12-88ff-309c95a4edfe,2025-04-29,2025-06-12,2,1799.91,899.96,246,2,2,5,225,Needs Attention,True,True
c0ab16e4-6c98-43cf-b412-e05b34548295,2025-01-26,2025-08-04,2,1799.91,899.96,193,2,2,5,225,Needs Attention,True,True
90412e67-4285-456e-a836-d5a0cc0f7b7c,2025-01-21,2025-05-16,3,1779.9,593.3,273,2,3,5,235,At Risk,True,True
1a88b218-7fe5-45af-aab0-93a54bc65ed9,2025-03-11,2025-05-12,2,1759.91,879.96,277,2,2,5,225,Needs Attention,True,True
fe0bedf5-13a1-43dc-93a3-a93a9344ecbb,2025-04-14,2025-10-16,2,1759.91,879.96,120,3,2,5,325,Potential Loyalist,True,True
f7882b04-b71b-47b6-8d19-e0ee3cf084e1,2025-02-20,2025-04-03,2,1719.91,859.96,316,2,2,5,225,Needs Attention,True,True
2b27c681-c0c7-467f-bcbf-f396813bf88a,2025-01-23,2025-05-18,2,1699.92,849.96,271,2,2,5,225,Needs Attention,True,True
24f80738-b3e0-4406-9c4b-c17cc729ed9c,2025-01-29,2025-04-12,2,1689.89,844.94,307,2,2,5,225,Needs Attention,True,True
1654f061-73e1-4bd9-8356-76a584c58002,2025-02-14,2025-11-24,2,1669.9,834.95,81,4,2,5,425,Potential Loyalist,True,True
c7e6820d-0443-4bdf-8e97-54d321a0793b,2025-05-24,2025-07-17,2,1669.9,834.95,211,2,2,5,225,Needs Attention,True,True
06d781a8-1600-47fe-857d-e5a6535f2c01,2025-03-27,2025-05-01,2,1669.9,834.95,288,2,2,5,225,Needs Attention,True,True
4ae09471-254f-40bb-a8e5-35919ab1f919,2025-01-22,2025-02-02,2,1669.9,834.95,376,1,2,5,125,Lost,True,True
61d27c7f-c877-4438-9e0a-81bed06d3229,2025-01-27,2025-02-22,2,1669.9,834.95,356,2,2,5,225,Needs Attention,True,True
0b2e64de-344c-467b-8c02-87c6be24e5dd,2025-02-10,2025-05-19,2,1659.92,829.96,270,2,2,5,225,Needs Attention,True,True
fc7c72db-ea85-4f42-bddc-ee3ff820e306,2025-02-17,2025-02-18,2,1659.92,829.96,360,2,2,5,225,Needs Attention,True,True
a197dcf1-6dca-4369-95be-dba06904525a,2025-08-07,2025-09-10,2,1659.92,829.96,156,3,2,5,325,Potential Loyalist,True,True
fff92b84-f098-40ad-8825-0c6f87fa44ea,2025-04-27,2025-05-12,2,1649.91,824.96,277,2,2,5,225,Needs Attention,True,True
ffd60887-ddd5-4c4b-83e7-631bbc875ace,2025-05-31,2025-07-29,2,1629.9,814.95,199,2,2,5,225,Needs Attention,True,True
07b290ce-4ae8-4cef-8937-c732f1a7b40c,2025-01-27,2025-02-06,2,1629.9,814.95,372,1,2,5,125,Lost,True,True
a5c1f891-c733-437e-9134-7d3ca58052e1,2025-10-12,2025-11-17,2,1619.92,809.96,88,4,2,5,425,Potential Loyalist,True,True
1f2548d5-10fa-4710-aa64-02516ecee677,2025-02-12,2025-06-05,2,1589.9,794.95,253,2,2,5,225,Needs Attention,True,True
f590eff3-2810-4cf1-b106-32b7ac4f79e0,2025-01-27,2025-05-04,3,1579.89,526.63,285,2,3,5,235,At Risk,True,True
794cf014-5ef2-4055-9b60-fe0a4544fc3b,2025-03-24,2025-04-13,2,1569.91,784.96,306,2,2,5,225,Needs Attention,True,True
5dbea342-d11d-46c8-abed-3a100d6fdcf1,2025-01-06,2025-01-22,2,1569.91,784.96,387,1,2,5,125,Lost,True,True
b669dce5-b650-4088-9f4b-3a54d2e34af2,2025-03-25,2025-10-31,2,1569.91,784.96,105,3,2,5,325,Potential Loyalist,True,True
b0728af4-543d-4cef-b0d8-1826c45ef486,2025-01-05,2025-02-05,3,1569.91,523.3,373,1,3,5,135,At Risk,True,True
cb4fc9ff-eb16-404a-a9fd-a6aa00f50e7e,2025-02-02,2025-06-25,2,1569.91,784.96,233,2,2,5,225,Needs Attention,True,True
78285d24-136e-451c-993d-b621174dc9aa,2025-07-17,2025-09-06,2,1569.91,784.96,160,3,2,5,325,Potential Loyalist,True,True
c5a5067f-da5d-42b7-9b86-56fcd7fa4020,2025-03-21,2025-03-29,2,1559.93,779.96,321,2,2,5,225,Needs Attention,True,True
e3097cf4-5e3f-405d-ab18-96cb2ffe547c,2025-08-30,2025-09-07,2,1559.93,779.96,159,3,2,5,325,Potential Loyalist,True,True
2ce120cf-cba1-4bd2-8ae3-1a8281f972d7,2025-08-26,2025-08-26,2,1549.92,774.96,171,3,2,5,325,Potential Loyalist,True,True
8051d09d-b68f-4f1f-b75d-eb7ccffa438a,2025-04-21,2025-06-02,2,1549.92,774.96,256,2,2,5,225,Needs Attention,True,True
12857a9a-accd-4495-8cfd-e2a3265cbdd9,2025-01-09,2025-06-16,2,1549.92,774.96,242,2,2,5,225,Needs Attention,True,True
8b746bd4-e016-4e71-b164-c36dc4133aa0,2025-10-08,2025-11-29,2,1549.92,774.96,76,4,2,5,425,Potential Loyalist,True,True
53ddf837-cc94-4194-b219-5654c0c4a784,2025-02-04,2025-08-08,2,1519.9,759.95,189,2,2,5,225,Needs Attention,True,True
f701a41f-8f2e-4b7b-ae43-e83b57cbb675,2025-01-02,2025-05-25,2,1509.92,754.96,264,2,2,5,225,Needs Attention,True,True
468fea2a-041b-4752-9dd5-a8a1e2632e15,2025-06-03,2025-07-31,2,1509.92,754.96,197,2,2,5,225,Needs Attention,True,True
dbf7c0d5-f70a-4986-a3d7-d68f0287981b,2025-08-07,2025-10-06,2,1509.92,754.96,130,3,2,5,325,Potential Loyalist,True,True
a71251a4-f215-4046-85fb-51206780e6c8,2025-01-01,2025-08-20,2,1499.94,749.97,177,3,2,5,325,Potential Loyalist,True,True
9568c791-108c-40c0-bc66-1f805059cf18,2025-01-11,2025-10-30,2,1479.9,739.95,106,3,2,5,325,Potential Loyalist,True,True
fac9c56f-43f0-4735-a58b-ade6a23c1257,2025-02-26,2025-02-28,2,1469.92,734.96,350,2,2,5,225,Needs Attention,True,True
5f763f61-be07-402a-b727-e338ee829d6b,2025-01-17,2025-02-18,2,1469.92,734.96,360,2,2,5,225,Needs Attention,True,True
8292ee5b-dfb9-48b6-873d-78f1f6b1053b,2025-06-07,2025-07-07,2,1459.91,729.96,221,2,2,5,225,Needs Attention,True,True
a8138384-e3b9-4300-a336-b7027e3104ab,2025-02-24,2025-03-09,2,1429.92,714.96,341,2,2,5,225,Needs Attention,True,True
6baf9a08-c914-4c2c-b04a-45641d5fa43b,2025-04-23,2025-07-18,2,1419.91,709.96,210,2,2,5,225,Needs Attention,True,True
7f8ccaec-9ccc-4879-b691-ad441c0e678c,2025-10-25,2025-12-24,2,1419.91,709.96,51,4,2,5,425,Potential Loyalist,True,True
99bceb74-6e40-4571-b1f7-a52a399ae2a5,2025-04-05,2025-07-10,2,1379.91,689.96,218,2,2,5,225,Needs Attention,True,True
698192c7-066f-47a4-9e71-10e670a9eb5b,2025-07-09,2025-11-16,2,1369.93,684.96,89,4,2,5,425,Potential Loyalist,True,True
a967e156-855e-4e11-8155-cb0dff80b30e,2025-01-25,2025-07-27,2,1369.93,684.96,201,2,2,5,225,Needs Attention,True,True
06560405-1795-4167-a60d-1691fa06fa3d,2025-03-20,2025-05-30,2,1369.93,684.96,259,2,2,5,225,Needs Attention,True,True
442903e4-2416-4aba-a15c-2febd0863fda,2025-01-01,2025-01-01,2,1369.93,684.96,408,1,2,5,125,Lost,True,True
cb6f7488-3390-4067-a8a7-6d66bd7a24ba,2025-01-15,2025-02-10,2,1369.93,684.96,368,1,2,5,125,Lost,True,True
918aa966-af12-4c1d-a0b6-abd12d00c58a,2025-04-09,2025-06-13,2,1359.92,679.96,245,2,2,5,225,Needs Attention,True,True
0019ae55-0109-4569-8775-b61e2cfbe8f2,2025-01-16,2025-02-28,2,1359.92,679.96,350,2,2,5,225,Needs Attention,True,True
ea2eae4a-5ae0-434e-8d9a-d9375e2c6def,2025-05-16,2025-06-04,2,1349.94,674.97,254,2,2,5,225,Needs Attention,True,True
64a05b52-d48a-4dec-ba4e-56063d04da9a,2025-03-19,2025-07-20,2,1349.94,674.97,208,2,2,5,225,Needs Attention,True,True
fe47f9e8-a38c-4875-8f3c-2f9f07b1d18c,2025-02-24,2025-04-08,2,1329.9,664.95,311,2,2,5,225,Needs Attention,True,True
73a19cc2-2974-43b1-a1b2-66e6de661016,2025-03-08,2025-04-07,2,1319.92,659.96,312,2,2,5,225,Needs Attention,True,True
a093e5ab-a46a-4326-aee1-1e2596a47ffc,2025-01-25,2025-02-10,2,1319.92,659.96,368,1,2,5,125,Lost,True,True
f86359e0-956b-4adc-ab6e-d07af673f321,2025-04-24,2025-06-26,2,1319.92,659.96,232,2,2,5,225,Needs Attention,True,True
23fc722c-87b9-414a-b0d2-327f20a9494e,2025-06-23,2025-09-16,2,1319.92,659.96,150,3,2,5,325,Potential Loyalist,True,True
4e74d266-3ac3-4b26-972a-40a3e02e8fc3,2025-10-04,2025-10-09,2,1319.92,659.96,127,3,2,5,325,Potential Loyalist,True,True
2eb113ed-c427-4f48-b13e-82d01e2ed46c,2025-07-15,2025-11-08,2,1319.92,659.96,97,3,2,5,325,Potential Loyalist,True,True
b271b224-5966-4e4e-8207-970753234ef3,2025-02-24,2025-05-20,2,1319.92,659.96,269,2,2,5,225,Needs Attention,True,True
f07679fe-3efb-422a-842f-1332883fdf78,2025-01-08,2025-02-16,2,1319.92,659.96,362,2,2,5,225,Needs Attention,True,True
